timestamp,container/edge-router_1/CPU_usage,container/edge-router_1/MEM_usage,container/edge-router_1/Cached_MEM_usage,container/edge-router_1/NET_Input,container/edge-router_1/NET_Output,container/edge-router_1/FS_usage,container/edge-router_1/FS_reads,container/edge-router_1/FS_writes,container/front-end_1/CPU_usage,container/front-end_1/MEM_usage,container/front-end_1/Cached_MEM_usage,container/front-end_1/NET_Input,container/front-end_1/NET_Output,container/front-end_1/FS_usage,container/front-end_1/FS_reads,container/front-end_1/FS_writes,service/edge-router:80/request_duration_seconds_count,service/edge-router:80/request_duration_seconds_bucket
1545212300,2.844119541,52252672,270336,358118.9424,360909.1963,53248,0,0,4.034324472,101330944,106496,21515.71344,344190.0437,81920,0,0,33.48003201,178.4753037
1545212260,3.0931402,52252672,270336,376389.5723,379675.653,53248,0,0,4.563354484,111386624,106496,23162.14731,361731.5343,81920,0,0,32.26217106,176.4780766
1545212240,1.420816096,52252672,270336,196846.4581,198116.41,53248,0,0,2.275615753,124469248,106496,11156.75043,189143.1181,81920,0,0,33.1424416,193.1278975
1545212110,2.66321832,52252672,270336,322379.0961,325088.7006,53248,0,0,3.405061195,118386688,106496,20170.12147,319839.5064,81920,0,0,31.66202921,180.7700002
1545212070,3.030343813,51597312,270336,418438.1648,421523.2569,53248,0,0,4.216012461,107872256,106496,23329.45253,388991.5243,81920,0,0,36.09484671,217.8237626
1545212050,3.20771185,51597312,270336,407043.0774,410429.5203,53248,0,0,4.458495419,115490816,106496,24352.83691,388853.2756,81920,0,0,35.77921606,202.0762126
1545212010,3.196655254,51597312,270336,374371.3935,377684.2654,53248,0,0,3.946481789,113119232,106496,23066.39403,359811.8597,81920,0,0,31.89728855,181.8363673
1545211990,2.109422331,51023872,270336,263279.1622,265248.1536,53248,0,0,2.557043756,104394752,106496,15219.18262,248277.2342,81920,0,0,38.38112034,232.0503264
1545211980,1.541988039,51007488,270336,178782.8948,180264.4117,53248,0,0,1.779509167,85446656,106496,10941.6516,169978.3335,81920,0,0,32.81818182,202.2363636
1545211920,3.10645533,44036096,270336,400398.9844,403729.6967,53248,0,0,3.596716891,119590912,106496,23562.53184,383964.5223,81920,0,0,33.98243604,206.9310351
