timestamp,container/front-end_1/CPU_usage,container/front-end_1/MEM_usage,container/front-end_1/Cached_MEM_usage,container/front-end_1/NET_Input,container/front-end_1/NET_Output,container/front-end_1/FS_usage,container/front-end_1/FS_reads,container/front-end_1/FS_writes,service/edge-router:80/request_duration_seconds_count,service/edge-router:80/request_duration_seconds_bucket
1544019780,1.415358164,116760576,25026560,44881.56364,33811.87273,245858304,0,0,70.47272727,842.0727273
1544019770,1.376317528,117415936,25026560,44797.8,33785.70909,245858304,0,0,70.91038019,845.7790142
1544019760,1.397134964,116338688,25026560,44314.6,33459.78182,245858304,0,0,71.05583738,847.960872
1544019750,1.372862188,121229312,25026560,45016.14545,34060.29091,245858304,0,0,70.8,835.6363636
1544019740,1.365317697,119484416,25026560,44825.50909,33929.21818,244842496,0,0,70.7259868,834.6211887
1544019730,1.327145548,118198272,25026560,44589.90909,33834.16364,244842496,0,0,71,836.6909091
1544019720,1.359837692,116981760,25026560,44847.27273,33926.92727,244842496,0,0,71.34545455,844.6181818
1544019710,1.416765369,115773440,25026560,46260.27273,34869.47273,244842496,0,0,71.21688697,843.2573953
1544019700,1.426085247,112517120,25026560,46436.47273,34962.41818,244842496,0,0,71.49090909,847.2545455
1544019690,1.413670364,113414144,25026560,45209.07273,33986.47273,244842496,0,0,71.12597953,851.3299758
1544019680,1.395065597,113147904,25026560,45413.32727,34173.89091,243818496,0,0,71.18311242,849.5790833
1544019670,1.382259848,115863552,25026560,44611.5707,33616.26152,243818496,0,0,71.30909091,851.3272727
1544019660,1.379957153,120692736,25026560,44520.41818,33575.70909,243818496,0,0,71.27402316,850.7791051
1544019650,1.398765006,114339840,25026560,44946.01818,33905.87273,243818496,0,0,70.63764796,843.1607847
1544019640,1.382682691,118337536,25026560,45334.50909,34178.49091,243818496,0,0,70.78181818,844.6363636
1544019630,1.376304103,113811456,25026560,44020.14545,33310.52727,243818496,0,0,70.27400498,838.4516082
1544019620,1.373835332,118431744,25026560,44925.63636,33969.70909,242814976,0,0,69.41944399,825.4150075
1544019610,1.391753684,115224576,25026560,44777.14545,33891.90909,242814976,0,0,68.10909091,809.9272727
1544019600,1.342885457,115142656,25026560,43175.87273,32793.07273,242814976,0,0,66.76363636,793.7272727
1544019590,1.341331932,112541696,25026560,42893.47273,32594.23636,242814976,0,0,65.89210713,782.9596902
1544019580,1.292318552,112189440,25026560,41483.63636,31696.45455,242814976,0,0,63.96363636,758.4181818
1544019570,1.255660689,108736512,25026560,39553.67273,30383.14545,242814976,0,0,62.94659903,746.1590211
1544019560,1.277487395,114311168,25026560,40010.58182,30598.36364,241909760,0,0,61.70909091,737
1544019550,1.248688059,114307072,25026560,37891.41818,29155.12727,241909760,0,0,59.94545455,715.6363636
1544019540,1.183631865,111620096,25026560,36553.83636,28252.49091,241909760,0,0,58.60106547,699.9763632
1544019530,1.203126881,110559232,25026560,36065.52727,27924.32727,241909760,0,0,57.21818182,683.1272727
1544019520,1.167225276,119427072,25026560,35678.32727,27616.32727,241909760,0,0,55.70909091,666.6909091
1544019510,1.120138351,116822016,25026560,34442.74545,26783.83636,241909760,0,0,54.94545455,657.2
1544019500,1.126304449,117092352,25026560,34061.96364,26547.32727,241119232,0,0,53.34448465,637.8611298
1544019490,1.090896673,112746496,25026560,33625.98182,26255.94545,241119232,0,0,51.89090909,620.2727273
1544019480,1.069615583,112644096,25026560,32822.07273,25721.25455,241119232,0,0,50.54637357,604.7019037
1544019470,1.059941756,115691520,25026560,32049.49091,25201,241119232,0,0,49.14545455,587.7818182
1544019460,1.037742999,113807360,25026560,30636.83799,24249.20459,241119232,0,0,47.47359043,567.8830524
1544019450,1.006467621,119095296,25026560,30395.14545,24083.25455,241119232,0,0,46.16363636,551.5818182
1544019440,0.954665555,114020352,25026560,28730.61818,22988.89091,240455680,0,0,44.85454545,536.1818182
1544019430,0.942736906,114020352,25026560,28075.32727,22543.10909,240455680,0,0,43.38260696,518.7185222
1544019420,0.919458039,116137984,25026560,27688.27273,22290,240455680,0,0,41.96363636,501.0909091
1544019410,0.883211489,111443968,25026560,26668.01818,21609.6,240455680,0,0,40.49017291,483.3730296
1544019400,0.854001324,111439872,25026560,25137.47273,20575.12727,240455680,0,0,39.25454545,466.5636364
1544019390,0.803618045,114696192,25026560,24473.98182,20115.89091,240455680,0,0,37.4,445.2727273
1544019380,0.786941746,111554560,25026560,23657.36364,19569.38182,239915008,0,0,36.14545455,430.2363636
1544019370,0.799192442,111554560,25026560,23182.07273,19251.6,239915008,0,0,34.78181818,414.3454545
1544019360,0.736085438,116838400,25026560,21833.70909,18323.36364,239915008,0,0,33.67211505,401.0836167
1544019350,0.699943963,112881664,25026560,21255.89091,17949.16364,239915008,0,0,32.03578117,381.5021545
1544019340,0.693356139,111755264,25026560,20025.54545,17096.56364,239915008,0,0,30.89034745,368.7932947
1544019330,0.705128104,111755264,25026560,19428.41818,16699.23636,239915008,0,0,29.47272727,351.7272727
1544019320,0.672193339,108765184,25026560,18333.72727,15945.54545,239489024,0,0,28.23687703,336.6424844
1544019310,0.664896967,105299968,25026560,18044.67273,15760.2,239489024,0,0,26.85454545,320.1636364
1544019300,0.641627384,103108608,25026560,16848.54545,14944.2,239489024,0,0,25.52773687,304.8782705
1544019290,0.617111236,108486656,25026560,15781.90909,14214.07273,239489024,0,0,24.14589356,288.441608
1544019280,0.596806367,105283584,25026560,15331.92727,13905.6,239489024,0,0,22.78181818,272.1454545
1544019270,0.556978474,102563840,25026560,14351.83636,13245.49091,239489024,0,0,21.23674976,253.6955217
1544019260,0.485781278,113504256,25026560,12960.01818,12297.70909,239177728,0,0,19.83636364,237.2545455
1544019250,0.46040344,110874624,25026560,12528.18182,12011.52727,239177728,0,0,18.49090909,221.1272727
1544019240,0.409427472,109580288,25026560,11429.21818,11260.52727,239177728,0,0,16.96332794,202.9235832
1544019230,0.357331012,107401216,25026560,10368.09091,10543.52727,239177728,0,0,15.56335339,186.2147961
1544019220,0.333111397,104976384,25026560,9478.872727,9944,239177728,0,0,14.12752959,168.9667085
1544019210,0.318329903,102785024,25026560,8732.909091,9425.581818,239177728,0,0,12.67249686,151.4336103
1544019200,0.311470118,101269504,25026560,7976.072727,8911.381818,238997504,0,0,11.23636364,134.0545455
1544019190,0.293367201,100220928,25026560,7060.472727,8278.854545,238997504,0,0,9.727272727,115.8727273
1544019180,0.270853123,100220928,25026560,6018.290909,7560.945455,238997504,0,0,8.436363636,100.2909091
1544019170,0.238887795,101457920,25026560,5142.672727,6957.218182,238997504,0,0,7.145454545,84.78181818
1544019160,0.206017116,100020224,25026560,4240,6328.127273,238997504,0,0,5.732482137,67.80980043
1544019150,0.174005743,99020800,25026560,3446.218182,6019.163636,238997504,0,0,4.299704099,50.74202634
1544019140,0.133612896,98078720,25026560,2498.554519,5019.636721,238931968,0,0,3.028684245,35.68937069
1544019130,0.089483099,110075904,25026560,1603.236364,4602.327273,238931968,0,0,1.917263249,22.47886751
